Price,Close,High,Low,Open,Volume
Ticker,CARR,CARR,CARR,CARR,CARR
Date,,,,,
2020-03-19,11.22061824798584,11.22061824798584,11.22061824798584,11.22061824798584,100
2020-03-20,11.921906471252441,12.155669343237783,11.220617855296416,12.155669343237783,2300
2020-03-23,10.790495872497559,11.921908390739047,10.753093842627374,11.921908390739047,18700
2020-03-24,10.940104484558105,12.062166322919362,10.753094326787025,12.062166322919362,96100
2020-03-25,12.57644271850586,12.57644271850586,11.033608072983565,11.033608072983565,19200
2020-03-26,14.44654655456543,14.44654655456543,13.090721958626089,13.090721958626089,76400
2020-03-27,13.605001449584961,14.960826140193006,13.605001449584961,14.025774506430944,486500
2020-03-30,14.867319107055664,15.428350386909878,14.259535963659129,14.259535963659129,210000
2020-03-31,16.129638671875,16.129638671875,13.61435048294294,15.325493796364121,461500
2020-04-01,14.072527885437012,14.960826798235278,13.6143527787574,14.960826798235278,2998900
2020-04-02,12.417485237121582,14.867320369227507,11.332825502939462,14.642908194928044,15966300
2020-04-03,15.821070671081543,15.89587471605362,12.51098855999623,12.856957490925721,66934300
2020-04-06,14.437196731567383,16.036135049744637,13.885517020577975,15.951980260619298,37138000
2020-04-07,14.259533882141113,14.773812331647202,13.604998079012685,14.21278113368883,23486000
2020-04-08,13.33383560180664,14.259536442061878,12.838257627672906,13.558247764583426,49372700
2020-04-09,13.820060729980469,14.49329805039414,12.99721531430478,13.090720819710835,34992600
2020-04-13,13.08137035369873,13.55824683573038,13.072019624623302,13.55824683573038,21497400
2020-04-14,12.96916389465332,13.277730811097415,12.885009118944097,13.090720693818355,22350000
2020-04-15,12.492288589477539,12.768128872537726,12.099566860772685,12.65124742689306,14990700
2020-04-16,12.052812576293945,12.38943075114983,11.463730101495287,12.29592525671151,21745200
2020-04-17,12.847607612609863,12.931762391706352,12.09021638421071,12.436185338036012,21336500
2020-04-20,13.511493682861328,13.782658575894395,12.599819026574876,12.623194956838152,20032200
2020-04-21,13.735906600952148,14.259535850786905,13.259030997758906,13.296433023337485,16235900
2020-04-22,13.829410552978516,14.175379473543039,13.296431525586486,13.979018638440524,12539500
2020-04-23,14.69900894165039,14.886019052005324,13.661101268645062,13.745256041238418,12226000
2020-04-24,15.194585800170898,15.587307473729464,14.296936387999112,14.586802724857877,17390000
2020-04-27,15.7088623046875,15.718213032405009,14.93744599441697,15.119780726236023,12186100
2020-04-28,15.895873069763184,16.597161587546854,15.531203611225733,15.783666122191468,12983800
2020-04-29,16.494312286376953,16.905735555426375,16.05483860627008,16.32600268615357,12523200
2020-04-30,16.55976104736328,16.68131873992001,15.881850143252933,16.10158603084994,19094100
2020-05-01,15.680817604064941,16.223147524503062,15.540560204264835,16.204446062271156,10727200
2020-05-04,15.334846496582031,15.44705347779598,14.670959798362283,15.101083587233314,9700300
2020-05-05,14.932772636413574,15.671463282366922,14.811215834961175,15.596659234047692,16298000
